search_term,url,title,rating,duration,position,description,category,keywords
dog tv,https://www.youtube.com/watch?v=s6JcZlxviSU,Dog TV 1 - (Reality TV for Dogs)  Please Subscribe,4.7333331,15916,0,"Feel guilty about leaving your dog home alone with nothing to do? Does you dog or dogs have anxiety when you leave and take it out on your furniture? Here is the answer; Dog TV. Just turn on the video and leave your dogs with something that is interesting to them. For over 2 hours your dogs will enjoy watching other dogs playing, barking, and learning basic commands while you are away.
Produced by Douglas & Jennifer Chick
 Please Subscribe",,"['pet', 'animal', 'dog', 'puppy', 'funny', 'compliation', 'laugh', 'fun', 'fail', 'milarious', 'cute', 'a dogs journey', 'dogs most wanted', 'arctic dogs', 'julianne hough dogs', 'german shepherds', 'why do dogs eat grass', 'why do dogs lick their paws', 'chewing', 'pitbull', 'paw']"
dog tv,https://www.youtube.com/watch?v=YZ8KpZsxySM,"TV for Dogs! Chill Your Dog TV with Cats, Dogs and Nature! NEW 2019!",4.6019902,28837,0,"TV for Dogs! Chill Your Dog TV with Cats, Dogs and Nature! NEW 2019! - Chill your dog out instantly with this new and improved, tried and tested dog TV! Featuring Dogs playing and running, cats, and nature footage, you dog is sure to have fun watching this, and no need to fear them becoming hyperactive or anxious as the music will help to calm them too!

Free Music and TV : https://www.relaxmydog.com

♫♫♫ Relax My Dog Music on iTunes: 
https://itunes.apple.com/gb/artist/relaxmydog/id439733931

Relax My Dog are experts in creating relaxing music to help calm your dog and help dogs to sleep. Our music is composed in-house by our team of producers and is useful for a variety of problems and situations. If your dog has sleeping problems, anxiety problems or is stressed during fireworks and thunderstorms, you should try our music and watch your dog relax before your eyes! 

► Facebook : https://www.facebook.com/RelaxMyDog/
► Twitter: https://twitter.com/relaxmydog
► Instagram: https://www.instagram.com/relaxmydog #dogmusic #dogtv #relaxmydog #videosfordogs #musicfordogs",,"['dog', 'dogs', 'puppy', 'puppies', 'tv', 'dog tv', 'tv for dogs', 'nature footage for dogs', 'dog footage', 'cat footage', 'entertainment for dogs', 'videos for dogs to watch', 'tv for dogs to watch', 'relax my dog', 'relax my dog tv', 'music for dogs', 'relax my dog music', 'relaxing music for dogs', 'relaxing tv for dogs']"
dog tv,https://www.youtube.com/watch?v=owaxeMdk_ew,Dog Pool Party (Reality TV for Dogs)  Please Subscribe,4.7614036,7484,0,"Feel guilty about leaving your dog home alone with nothing to do? Does you dog or dogs have anxiety when you leave and take it out on your furniture? Here is the answer; Dog TV. Just turn on the video and leave your dogs with something that is interesting to them. For over 2 hours your dogs will enjoy watching other dogs playing, barking, and learning basic commands while you are away.

Produced by Jennifer & Douglas Chick",,"['pet', 'animal', 'dog', 'puppy', 'funny', 'compilation', 'laugh', 'fun', 'fail', 'hilarious', 'cute', 'why do dogs lick their paws', 'Australian Shepherd', 'German Shepherd', 'Pugs', 'why do dogs eat grass', 'chewing', 'sky', 'licking']"
dog tv,https://www.youtube.com/watch?v=fuEDZY6FEYs,Walk My Dog TV - Cure Boredom and Entertain Your Dog! (NEW),4.7018633,28549,0,"Walk My Dog TV - Cure Boredom and Entertain Your Dog! (NEW) - Help cure tiredness, depression and boredom with our brand new, engaging and entertaining tv for dogs! Our dog tv features excited park footage with dogs, trails and water, designed to stimulate and capture your dogs attention! Filmed in Manchester, this footage is neutral yet familiar for dogs, and will help your dog stay staring at the screen for hours!

Free Music and TV : https://www.relaxmydog.com

♫♫♫ Relax My Dog Music on iTunes: 
https://itunes.apple.com/gb/artist/relaxmydog/id439733931

Relax My Dog are experts in creating relaxing music to help calm your dog and help dogs to sleep. Our music is composed in-house by our team of producers and is useful for a variety of problems and situations. If your dog has sleeping problems, anxiety problems or is stressed during fireworks and thunderstorms, you should try our music and watch your dog relax before your eyes! 

Relax My Dog's music will help to calm and soothe your dog or puppy in a variety of situations. Console whimpering puppies, minimise separation anxiety, reduce hyperactivity, minimise fear of thunderstorms, stop unwanted barking, comfort sick or injured dogs and calm your dog on car journeys - Relax my Dog does it all! 

Relax My Dog’s music is unique and will help in a variety of situations as a substitute for medication. We have helped thousands of dogs and puppies worldwide to sleep and reduce their anxiety. Music therapy for your dog can keep them calm, happy and healthy, and it is a great way to rehabilitate rescue dogs - or just get your puppy or dog used to their new home. 

Being re-homed is an incredibly stressful time for dogs - as they have to get used to a lot of different sights and sounds, as well as their new family and any other pets in the household. We recommend that you play Relax My Dog during this time, and it will help reduce their heart rate and relax them while they explore their new surroundings. No more whimpering puppies - they will get used to your home in no time at all with the help of Relax My Dog's music!

You may be crate training or obedience training, which can be a stressful time for both dog and parent, and our music will soothe your pup making your life easier. Crate training can be one of the hardest things about getting a new puppy - as being trapped in a new space and away from you is very scary for them. However, when listening to Relax My Dog you will notice your puppy start to relax and get more used to their crate.

It is also very useful to calm your dog during car journeys - which many dogs find a stressful time. They may associate it with vets visits - so we recommend playing Relax My Dog's music before and after visits to the vet to reduce their stress.

The worst time of year for over 60% of dogs is Firework season - the loud bangs are really scary for them and you may notice a huge change in your dog during this time. Thunderstorms are another difficult time for dogs, with the majority of dogs being very scared of storms because of the unfamiliar loud noises. Relax My Dog is the perfect solution to this anxiety-inducing situation - just play our firework and thunderstorm playlist to reduce your dogs anxiety and make them feel safe. 

The most common problem we hear is separation anxiety in dogs, they are pack animals and see their owners as their pack - being separated from you can cause severe anxiety in many dogs. Relax My Dog’s music has improved thousands of cases of separation anxiety and barking canines all over the world - just play them our music when you leave to go to the shops or out of the room, and you will notice a lot less barking and whimpering from your four-legged friend!

So whether you have a Pug, Labrador, Pomeranian, Shi Tzu, Terrier or Great Dane - any breed can become relaxed and calm when listening to Relax My Dog. We are also on a number of social media platforms - so join our community and let's chat! We love to hear about and see pictures of your doggies!

► Facebook : https://www.facebook.com/RelaxMyDog/
► Twitter: https://twitter.com/relaxmydog
► Instagram: https://www.instagram.com/relaxmydog #dogmusic #dogtv #relaxmydog #videosfordogs #musicfordogs",,"['dog', 'dogs', 'puppy', 'puppies', 'tv', 'dog tv', 'tv for dogs', 'tv for dogs to watch', 'relaxing tv for dogs', 'calming tv for dogs', 'soothing tv for dogs', 'entertainment for dogs', 'videos for dogs', 'videos for dogs to watch', 'nature footage for dogs', 'music', 'dog music', 'music for dogs', 'relaxing music for dogs', 'calming music for dogs', 'soothing music for dogs', 'dog playing', 'dog running', 'dog walking', 'pet sounds', 'pet tv', 'petflix', 'netflix for pets']"
dog tv,https://www.youtube.com/watch?v=I4KCmFfVm34,TV for Dogs! 8 HOURS of Fun Entertainment for Bored Dogs + Music! NEW,4.7422967,28817,0,"TV for Dogs! 8 HOURS of Fun Entertainment for Bored Dogs + Music! NEW - Gives your dog hour of entertainment filled with dogs playing, napping and generally having fun, if your dog can't leave the house, this is the best substitution, it will keep your dog distracted and focused whilst keeping them calm with relaxing music!

Free Music and TV : https://www.relaxmydog.com

♫♫♫ Relax My Dog Music on iTunes: 
https://itunes.apple.com/gb/artist/relaxmydog/id439733931

Relax My Dog are experts in creating relaxing music to help calm your dog and help dogs to sleep. Our music is composed in-house by our team of producers and is useful for a variety of problems and situations. If your dog has sleeping problems, anxiety problems or is stressed during fireworks and thunderstorms, you should try our music and watch your dog relax before your eyes! 

► Facebook : https://www.facebook.com/RelaxMyDog/
► Twitter: https://twitter.com/relaxmydog
► Instagram: https://www.instagram.com/relaxmydog #dogmusic #dogtv #relaxmydog #videosfordogs #musicfordogs",,"['dog', 'dogs', 'puppy', 'puppies', 'tv', 'dog tv', 'tv for dogs', 'entertainment for dogs', 'tv for dogs to watch', 'videos for dogs to watch', 'dog footage for dogs', 'beach videos for dogs', 'water videos for dogs', 'tv for bored dogs', 'music', 'relaxing music for dogs', 'music for dogs', 'dog music', 'relax my dog', 'relax my dog music', 'relax my dog tv']"
cattle in field,https://www.youtube.com/watch?v=-r8ROxXGXKw,Dog TV Relaxation : Videos for Dogs - Cows In The Field ~ Relax with Nature,4.7199655,36324,0,"Dog TV Relaxation : Videos for Dogs with Separation Anxiety  - Cows In The Field on A Perfect Day ~ Relax with Nature

Video Produced by Paul Dinning",,"['calm your dog', 'calm dog', 'tv for dogs', 'relaxing for dogs', 'relax', 'relaxing', 'relaxation', 'for dogs', 'puppy', 'music for dogs', 'calm my dog', 'separation anxiety', 'dog video', 'calming music for dogs', 'dogs watching tv', 'dog music', 'dog whining', 'dog calming aid', 'stop barking', 'relaxing dog music', 'how to calm my dog', 'barking', 'nature sounds', 'dog training', 'relaxing music for dogs', 'dogs', 'dog', 'barking dog', 'videos for dogs', 'dog therapy music', 'dog tv', 'dogtv', 'asmr', 'asmr relaxation', 'relax with nature']"
cattle in field,https://www.youtube.com/watch?v=JlXfjBRAKgs,Cows In The Field,4.0534353,191,0,"This song was written by Michael R and recorded for his young son Sean, and indeed anyone who likes cows, particularly those standing in a field.  We hope it mooooves you enough to share with all your friends. :-)",,"['The Minnows', 'Minnows', 'Northern Ireland', 'Good Vibrations', 'Good Vibes', 'Terri Hooley', ""Tiberius' Minnows"", 'Michael R', 'Michael Rafferty', 'Cows in the Field']"
cattle in field,https://www.youtube.com/watch?v=huT5__BqY_U,Happy Cows skipping out to grass for the first time. April 2012,4.7367287,167,0,"Letting the cows out to grass for the first time this year on our farm in Tytherington, South Gloucestershire,England.
Click on this link to see another great video of young cattle jumping for joy https://www.youtube.com/watch?v=FknBzWYVchI 

Visit my YouTube channel to see further videos of life on the farm through the year https://www.youtube.com/user/thefunkyfarmer
or visit my website www.richardcornock.co.uk to find out more about me",,"['skipping cows', 'Freisian', 'Growing', 'Dairy', 'videos', 'Environment', 'Farm', 'Cow', 'Harvesting', 'Farm Simulator', 'Milking Parlour', 'Heifers', 'gloucestershire', 'cow pictures', 'Countryside', 'cow games', 'Feeding', 'Dairy Farming', 'Baler', 'farming', 'Happy', 'Cows', 'dairy farm', 'Digger', 'Beef', 'cows cows cows', 'Massey Ferguson', 'tytherington', 'dairy cows', 'Grass', 'milking', 'Agriculture Professional Field', 'dancing cows', 'Cow Out', 'Holstein', 'Food', 'Farmer']"
cattle in field,https://www.youtube.com/watch?v=fQHt1W2togc,Cows Graze in a field,4.4022989,168,0,Friesian Heifers feed on lush green grass. Video suitable for young children to watch. Video by http://www.celticvideo.com,,"['cattle', 'farming', 'for', 'kids', 'ireland', 'irish']"
cattle in field,https://www.youtube.com/watch?v=EtO2DDFlnrI,Cows Jump For Joy After Seeing Grass For The First Time In Months,4.7642498,411,0,"#vegan #cow #inmyfeelings

Cows Jump For Joy After Seeing Grass For The First Time In Months

Stonewall Farm's ""Dancing Of the Ladies"" is an annual event here in NH. They finally release the cows into the pasture after a long winter in the barn, and they LOVE it. This video was recorded 2013-05-04. Thanks for watching!

When a lion cub won't listen to mom: 
https://www.youtube.com/watch?v=wGDczBxkbZw

goose stands off against a group of furious cows:
https://www.youtube.com/watch?v=k15kJeyEnrk

 Cow Literally Dances For Joy And Shows Man Gratitude After Being Freed From Tiny Stable:
https://www.youtube.com/watch?v=aNtStsw3rMo",,"['skipping cows', 'Freisian', 'Growing', 'Dairy', 'videos', 'Environment', 'Farm', 'Cow', 'Harvesting', 'Farm Simulator', 'Milking Parlour', 'Heifers', 'gloucestershire', 'cow pictures', 'Countryside', 'cow games', 'Feeding', 'Dairy Farming', 'Baler', 'farming', 'Happy', 'Cows', 'dairy farm', 'Digger', 'Beef', 'cows cows cows', 'Massey Ferguson', 'tytherington', 'dairy cows', 'Grass', 'milking', 'Agriculture Professional Field', 'dancing cows', 'Cow Out', 'Holstein', 'Food', 'Farmer']"
cattle in field,https://www.youtube.com/watch?v=QhLMlA3Wb8w,4K Mountain Cows - Cowbell Sounds - Relaxing Animals & Nature Video - Ultra HD - 2160p,4.8631325,4500,0,"Sit back and relax with the sights of majestic mountain scenery and alpine cows peacefully grazing over the meadows, accompanied by the clear sounds of ringing cowbells and trickling streams. This Ultra High Definition (UHD) video of beautiful nature scenes and high quality audio can be used to create a peaceful and refreshing background atmosphere in your home or place of work and to help with relaxation, meditation, yoga, study, sleep, stress relief, working, reading, etc.

For more info and images, visit: http://www.thesilentwatcher.com/2017/12/13/cows-and-bells/

Filming location: Pirin National Park, Bulgaria.

All material in this video is original and personally recorded by myself on location.
Copyright © 2017 Petar Paunchev. All Rights Reserved. The unauthorized reproduction or distribution of this copyrighted work is illegal.",,"['cowbell', 'sound', 'cow', 'bell', 'relax', 'relaxing', 'relaxation', 'rest', 'peaceful', 'graze', 'grazing', 'animal', 'farm', 'mountain', 'landscape', 'nature', 'natural', 'video', 'Ultra', 'HD', '4K', 'UHD', '2160p', 'audio', 'recording', 'no loop', 'realtime', 'documentary', 'scenery', 'beautiful', 'tranquil', 'tranquility', 'calming', 'stress relief', 'sleep', 'aid', 'meadow', 'wild']"
cattle in field,https://www.youtube.com/watch?v=K_EsxukdNXM,Cows Mooing,4.251102,74,0,"Some cows mooing on the side of the road.  Taken in Gore Bay, on Manitoulin Island, ON, Canada.

More cows (Scottish ones this time) can be seen at http://www.youtube.com/watch?v=NK8Ww7j377o",,"['cow', 'farm', 'moo', 'mooing', 'herd', 'manitoulin', 'island', 'gore', 'bay']"
dogs chasing balls,https://www.youtube.com/watch?v=TFg1krcFzc8,Dogs Chasing Balls,4.3499999,301,0,"Dogs Chasing Balls - Dogs running around on the beach, dogs chasing each other, catching a frisbee, playing football, playing fetch and generally having lots of fun.
More TV for Dogs Here:  https://www.youtube.com/playlist?list=PLDVOj83ylWPKbzC2QTiffrPWhSZiKOt3d

Fetch is a fun game to play with any dog. It involves throwing a ball or other toy, and having your dog chase it and bring it back to you. Many people think this game is something dogs do naturally, but very often they need to learn how to do it, or at least some part of it. 
Here's how to train a dog to fetch: http://dogs.about.com/od/basiccommands/a/How-To-Train-A-Dog-To-Fetch.htm

Subscribe to my channel for more dog videos and videos for dogs viewing here: https://www.youtube.com/user/TopDogumentary

Top Dog-umentary on the web: http://www.topdogumentary.com

or on Facebook: https://www.facebook.com/TopDogumentary

here on Tumblr: http://topdogumentary.tumblr.com",,"['Dog (Organism Classification)', 'balls', 'Jack Russell Terrier (Animal Breed)', 'Animal (Fictional Character)', 'Animal (Film)', 'water', 'dogs swimming', 'Beach (Geographical Feature Category)', 'Dogs', 'stick', 'sea', 'playing', 'running', 'Swimming (Sport)', 'chasing', 'fetch', 'Puppy', 'frisbee', 'football']"
dogs chasing balls,https://www.youtube.com/watch?v=3W0u1LxsniM,Dog chasing ball Petsafe ball launcher,4.963964,166,0,"Marshall with his Petsafe ball launcher, it only took about five minutes to train him how it works.",,[]
dogs chasing balls,https://www.youtube.com/watch?v=ZtpLvumSTzI,Train ANY Dog How To Play Fetch PERFECTLY,4.9132051,487,0,"How to train your dog to fetch! This video is sponsored by BarkBox! Get a free BarkBox when you sign up for a 6 or 12 month subscription at http://www.BarkBox.com/DogTraining

For more daily dog training tips and videos follow @zakgeorge on Instagram: http://www.instagram.com/ZakGeorge 

Like me on Facebook! http://www.facebook.com/TheZakGeorge

Support my videos by making a contribution on patreon: http://www.patreon.com/ZakGeorge
 
Order the NEW book here: https://amzn.to/2XiER6f 
Get my first book here: https://amzn.to/1PXH568

Playlist: How to teach your puppy or dog the basics in order: https://www.youtube.com/playlist?list=PLMssKIjsDxXmMGypWsr8u-yGOUSoPoozb",,"['How to train dog fetch', 'Dog training', 'Puppy training', 'Belgian Malinois', 'Zak george', 'Train dog']"
dogs chasing balls,https://www.youtube.com/watch?v=EcaXVl4ThQ8,Dog Playing Ball In Epic Slow Motion 4 [HD],4.5692306,199,0,"Dog playing, chasing and catching ball in slow motion... ... the fourth video of it (clearly it doesn't get old). Epic, cute and funny to watch!

Music: ""300 Violin Orchestra"" by 'Jorge Quintero'.",,"['Epic', 'Slow', 'Motion', 'Dog', 'Dogs', 'Epic Slow Motion Dog', 'Slow Motion Dog', 'Dog in slow motion', 'Slow motion compilation', 'Cool things in slow motion', 'Fast things in slow motion', 'Things in slow motion', 'Amazing', 'Cute Pets', 'Dog Playing ball', 'Dog Catching balls', 'Dog Chasing balls', 'Playing ball', 'Catching ball', 'Chasing ball', 'Dog Playing Ball In Epic Slow Motion']"
dogs chasing balls,https://www.youtube.com/watch?v=obEZTF_Rr7E,Dog Excitedly Plays Fetch with Ball Throwing Machine - 1022616,4.9466667,32,0,For licensing/usage please contact: licensing(at)jukinmedia.com,,[]
dogs chasing balls,https://www.youtube.com/watch?v=oIPC-1YK0ao,"Dogs Playing, Chasing Balls in the Snow",4.3333335,190,0,"A perfect day for dogs:  snow, sun and tennis balls!",,"['dog', 'dogs', 'puppy', 'puppies', 'snow', 'snowing', 'play', 'playing', 'tennis', 'balls', 'ball', 'chasing', 'chase', 'cute', 'rescue', 'rescued', 'funny', 'winter', 'animal', 'animals', 'toy', 'fun']"
